Reviewer,Rating,Date,Title,Content
Nadya Surya Pratiwi,4,03 Nov 2023,Terima kasih atas layanan tersebut.,Terimakasih untuk pelayanannya
Tevi Andrian,4,03 Nov 2023,Lorong sempit tapi tempatnya okay,Pod yang saya tempati terlalu sempit lorongnya tapi overall it's okay
Mumun Musrin,5,02 Nov 2023,I don't expect the room to be comfortable.,I don't  expect the room could be that comfortable p
Nurul Diana Halimah Fadilla,5,30 Oct 2023,"Bagus, tolong perhatikan toilet. Terima kasih.",Sebenarnya bagus..hanya saja tolong lebih diperhatikan lagi ya untuk toiletnya..terima kasih
Dwika Yulistiaputri,5,27 Oct 2023,"Kamar bersih, wangi, staf ramah, titip tas ada","Kamar bersih, wangi, staf ramah semua. Boleh titip tas sebelum check in dan sesudah check out"
Narulia Ayu,5,27 Oct 2023,Terima kasih atas kenyamanannya.,Terima kasih atas kenyamanan nya ...
Hawally Garbi,5,26 Oct 2023,"Worth it, penginapan favorit, ga expect bagus.","Worth it paraaaahhhh💗💗💗
Ga expect ternyata sebagus itu. Bakal jd penginapan favorite kalo kemana mana"
Nurul Nisa Utami,5,23 Oct 2023,Saya suka menginap di bobobox.,I really like to stay in bobobox
Suryadi,5,23 Oct 2023,Kamar service dan pelayanan OK. Disarankan.,"Masih kedap suara
Untuk kamar service ok
Pelayanan ok.

Recommended"
N/A,N/A,N/A,N/A,N/A
Stella Christy,4,25 Nov 2023,"Colokan listrik mohon d maintain,1 tidak berfungsi","Colokan listriknya mohon d maintain selalu, 1 colokan tidak berfungsi"
Rika Fadilah,5,25 Nov 2023,Comfortable sleep and excellent customer service:),"Semuanya bersih dan nyaman, sayang bobobox alun alun bandung jauhhh sekali parkir motornyaa, kalau parkir motor didepan bangunan pasti saya kasih bintang 10!! Ohiya saran disetiap kamar disediakan keset kaki, terimakasih"
Lee Keang Heng,4,24 Nov 2023,"Bedsheet and towels stained, must clean all.",The bedsheet and towels got stain. Good to ensure all is clean.
Tugas Kantor,4,24 Nov 2023,Kebersihan kamar mandi perlu ditingkatkan,"Kebersihan kamar mandi mohon untuk ditingkatkan ya kak, tp overall oke kamarnya nyaman untuk ditempati. Kakak-kakak staf dan satpam juga ramah dan sabar melayani tamu-tamu yang datang"
Akbar Hantar,5,21 Nov 2023,Stay nice and happy!,Niiiiiiiiccccccccveeeeeee staaaaaaaaaaaaaayÿyyyyyyyyyyyhyhy
Annisa Suhawan,5,19 Nov 2023,"Kamar bersih, nyaman, layak.","Bagus banget, kamar bersih kamar mandi juga bersih, nyaman sangat worth it pokoknya"
Tri Wulandari,5,19 Nov 2023,"Tempat bagus, mudah akses, cocok buat liburan.","Bagus banget tempatnya. akses kemana-mana gampang banget. kalau mau ke alun-alun bandung, king mall, yogya,jalan asia afrika ya tinggal jalan. jadi cocok banget buat yang mau liburan tapi gak nguras dompet. terima kasih bobobox alun-alun bandung"
Meishana,4,18 Nov 2023,"Nikmatnya nginep disini, dekat dengan tempat makan","Suka bangeeeet nginep disini, sebrang the Kings, mau jajan apa aja ada. Mau ke Bake It tinggal nyebrang ajaaa.
Mau ke Bubur Ayam Kang Dedi, tinggal jalan kaki 8 menit."
Brandon White,5,18 Nov 2023,Pleasant stay with comfy bed,"It is a pleasant experience to stay overnight in here. The bed is comfy and the room is comfortable. The facilities also clean. Maybe the bedsheet and bedcover need more cleaning as I find out some stain and dust, but overall it is great!"
Surya Asrini,4,17 Nov 2023,"Pelayan ramah, bersih, nyaman, adem, recommended.","Pods nya cozy, luas, AC nya enak, bersih, lokasi dekat dengan Kings buat cari makan.

Toiletnya di waktu tertentu dan cubicle ada yg aga pesing. Bluetooth pods nya nggak nyala. Lebih OK kalau ada hanging shelf di area handwashing toilet buat taro any amenities yg kita bawa selagi cuci muka atau sikat gigi"
Dewi Maryati,5,16 Nov 2023,Enak banget penginapan nyaman dekat kota.,"enak banget buat quick stay, nyaman deket kota juga klo mau jalan"""
Alfina Dwi Lestari,5,15 Nov 2023,"Pelayanan ramah, nyaman, dan terbaik.",Bagus pelayanan ramah nyaman the best
Pratiwi,5,14 Nov 2023,"Tempat bersih, cocok untuk menginap berdua.",Tempat bersih oke buat nginep berdua
Muhammad Ifan,5,13 Nov 2023,"Kasur ok, staff ramah, akses dekat. Good job",Tidur cukup nyaman walaupun kasurnya agak kaki dikit tapi gak masalah so far nyaman sih. Staffnya ramah dan sangat membantu. Bapak satpamnya juga ramah banget. Aksesnya gampang dan strategis deket banget dari alun-alun. Good job bobobox!
anak jendral,5,12 Nov 2023,Bobobox di Paskal dan Alun-Alun keren,"Ini yg ke 2xnya nginep d bobobox
Pertama d paskal, ke 2 d alun"".. 
Btw bobobox makin keren.."
Izza,5,09 Nov 2023,"Literally walk to McD, rooftop available! Best!",Literally we can walk to McD and they have a rooftop!! Best
muhammad rafli,5,08 Nov 2023,Improve soundproofing for better experience.,"All good , only room soundproof must be improve"
denandra fabio,5,07 Nov 2023,A comfortable place for rest,a comfortable and pleasant place to rest...
Nadya Surya Pratiwi,4,03 Nov 2023,Terima kasih atas layanan tersebut.,Terimakasih untuk pelayanannya
Tevi Andrian,4,03 Nov 2023,Lorong sempit tapi tempatnya okay,Pod yang saya tempati terlalu sempit lorongnya tapi overall it's okay
Mumun Musrin,5,02 Nov 2023,I don't expect the room to be comfortable.,I don't  expect the room could be that comfortable p
Nurul Diana Halimah Fadilla,5,30 Oct 2023,"Bagus, tolong perhatikan toilet. Terima kasih.",Sebenarnya bagus..hanya saja tolong lebih diperhatikan lagi ya untuk toiletnya..terima kasih
Dwika Yulistiaputri,5,27 Oct 2023,"Kamar bersih, wangi, staf ramah, titip tas ada","Kamar bersih, wangi, staf ramah semua. Boleh titip tas sebelum check in dan sesudah check out"
Narulia Ayu,5,27 Oct 2023,Terima kasih atas kenyamanannya.,Terima kasih atas kenyamanan nya ...
Hawally Garbi,5,26 Oct 2023,"Worth it, penginapan favorit, ga expect bagus.","Worth it paraaaahhhh💗💗💗
Ga expect ternyata sebagus itu. Bakal jd penginapan favorite kalo kemana mana"
Nurul Nisa Utami,5,23 Oct 2023,Saya suka menginap di bobobox.,I really like to stay in bobobox
Suryadi,5,23 Oct 2023,Kamar service dan pelayanan OK. Disarankan.,"Masih kedap suara
Untuk kamar service ok
Pelayanan ok.

Recommended"
Nida fadhilah,5,22 Oct 2023,"Staff ramah & sangat membantu, nyaman.",Nyaman staff nya ramah sangat membantu
Andini,4,19 Oct 2023,Pilih penginapan nyaman di Bandung.,"Nyaman dan posisi penginapannya gk terlalu klo mau kmana"" 😁 bkalan pilih d sini lg klo k bndung .."
Sinta Aprilya,5,16 Oct 2023,"Staff ramah, pelayanan bagus.",semua staff nya ramah2 pelayanan good
Sinta Aprilya,5,15 Oct 2023,"Req kamar no 7, excellent service","req kamar no 7 langsung dapet, excellent service"
Trifena Klaudia Natan,5,15 Oct 2023,"Very cozy, wish stay longer",Very cozy 👌 i wish i could stay longer
IqbalSaptaAbdiDwitama,5,13 Oct 2023,Staycation di Bobobox nyaman,staycation di bobobox emang bikin nyaman 😇
Intan Vina Yulianita,4,08 Oct 2023,Parkir di King's tidak dapat gratis di Bobobox.,Baru tahu kalau sekarang parkir di kings tidak dapat cap bobobox jadi harus bayar parkir. Mana parkir dari tgl 8 baru check out tgl 11🥲
Bagas Islami,4,07 Oct 2023,Semoga ada tissue di pod,Semoga nanti di setiap pod ada tissue
Donal Siahaan,4,05 Oct 2023,Next time I will stay here :),next time i will stay in here :)
michael kiran,4,01 Oct 2023,Charger di Pod 55 Bobobox Longgar,charger di pod 55 bobobox alun alun bandung longgar
N/A,N/A,N/A,N/A,N/A
Stella Christy,4,25 Nov 2023,"Colokan listrik mohon d maintain,1 tidak berfungsi","Colokan listriknya mohon d maintain selalu, 1 colokan tidak berfungsi"
Rika Fadilah,5,25 Nov 2023,Comfortable sleep and excellent customer service:),"Semuanya bersih dan nyaman, sayang bobobox alun alun bandung jauhhh sekali parkir motornyaa, kalau parkir motor didepan bangunan pasti saya kasih bintang 10!! Ohiya saran disetiap kamar disediakan keset kaki, terimakasih"
Lee Keang Heng,4,24 Nov 2023,"Bedsheet and towels stained, must clean all.",The bedsheet and towels got stain. Good to ensure all is clean.
Tugas Kantor,4,24 Nov 2023,Kebersihan kamar mandi perlu ditingkatkan,"Kebersihan kamar mandi mohon untuk ditingkatkan ya kak, tp overall oke kamarnya nyaman untuk ditempati. Kakak-kakak staf dan satpam juga ramah dan sabar melayani tamu-tamu yang datang"
Akbar Hantar,5,21 Nov 2023,Stay nice and happy!,Niiiiiiiiccccccccveeeeeee staaaaaaaaaaaaaayÿyyyyyyyyyyyhyhy
Annisa Suhawan,5,19 Nov 2023,"Kamar bersih, nyaman, layak.","Bagus banget, kamar bersih kamar mandi juga bersih, nyaman sangat worth it pokoknya"
Tri Wulandari,5,19 Nov 2023,"Tempat bagus, mudah akses, cocok buat liburan.","Bagus banget tempatnya. akses kemana-mana gampang banget. kalau mau ke alun-alun bandung, king mall, yogya,jalan asia afrika ya tinggal jalan. jadi cocok banget buat yang mau liburan tapi gak nguras dompet. terima kasih bobobox alun-alun bandung"
Meishana,4,18 Nov 2023,"Nikmatnya nginep disini, dekat dengan tempat makan","Suka bangeeeet nginep disini, sebrang the Kings, mau jajan apa aja ada. Mau ke Bake It tinggal nyebrang ajaaa.
Mau ke Bubur Ayam Kang Dedi, tinggal jalan kaki 8 menit."
Brandon White,5,18 Nov 2023,Pleasant stay with comfy bed,"It is a pleasant experience to stay overnight in here. The bed is comfy and the room is comfortable. The facilities also clean. Maybe the bedsheet and bedcover need more cleaning as I find out some stain and dust, but overall it is great!"
Surya Asrini,4,17 Nov 2023,"Pelayan ramah, bersih, nyaman, adem, recommended.","Pods nya cozy, luas, AC nya enak, bersih, lokasi dekat dengan Kings buat cari makan.

Toiletnya di waktu tertentu dan cubicle ada yg aga pesing. Bluetooth pods nya nggak nyala. Lebih OK kalau ada hanging shelf di area handwashing toilet buat taro any amenities yg kita bawa selagi cuci muka atau sikat gigi"
Dewi Maryati,5,16 Nov 2023,Enak banget penginapan nyaman dekat kota.,"enak banget buat quick stay, nyaman deket kota juga klo mau jalan"""
Alfina Dwi Lestari,5,15 Nov 2023,"Pelayanan ramah, nyaman, dan terbaik.",Bagus pelayanan ramah nyaman the best
Pratiwi,5,14 Nov 2023,"Tempat bersih, cocok untuk menginap berdua.",Tempat bersih oke buat nginep berdua
Muhammad Ifan,5,13 Nov 2023,"Kasur ok, staff ramah, akses dekat. Good job",Tidur cukup nyaman walaupun kasurnya agak kaki dikit tapi gak masalah so far nyaman sih. Staffnya ramah dan sangat membantu. Bapak satpamnya juga ramah banget. Aksesnya gampang dan strategis deket banget dari alun-alun. Good job bobobox!
anak jendral,5,12 Nov 2023,Bobobox di Paskal dan Alun-Alun keren,"Ini yg ke 2xnya nginep d bobobox
Pertama d paskal, ke 2 d alun"".. 
Btw bobobox makin keren.."
Izza,5,09 Nov 2023,"Literally walk to McD, rooftop available! Best!",Literally we can walk to McD and they have a rooftop!! Best
muhammad rafli,5,08 Nov 2023,Improve soundproofing for better experience.,"All good , only room soundproof must be improve"
denandra fabio,5,07 Nov 2023,A comfortable place for rest,a comfortable and pleasant place to rest...
Nadya Surya Pratiwi,4,03 Nov 2023,Terima kasih atas layanan tersebut.,Terimakasih untuk pelayanannya
Tevi Andrian,4,03 Nov 2023,Lorong sempit tapi tempatnya okay,Pod yang saya tempati terlalu sempit lorongnya tapi overall it's okay
Mumun Musrin,5,02 Nov 2023,I don't expect the room to be comfortable.,I don't  expect the room could be that comfortable p
Nurul Diana Halimah Fadilla,5,30 Oct 2023,"Bagus, tolong perhatikan toilet. Terima kasih.",Sebenarnya bagus..hanya saja tolong lebih diperhatikan lagi ya untuk toiletnya..terima kasih
Dwika Yulistiaputri,5,27 Oct 2023,"Kamar bersih, wangi, staf ramah, titip tas ada","Kamar bersih, wangi, staf ramah semua. Boleh titip tas sebelum check in dan sesudah check out"
Narulia Ayu,5,27 Oct 2023,Terima kasih atas kenyamanannya.,Terima kasih atas kenyamanan nya ...
Hawally Garbi,5,26 Oct 2023,"Worth it, penginapan favorit, ga expect bagus.","Worth it paraaaahhhh💗💗💗
Ga expect ternyata sebagus itu. Bakal jd penginapan favorite kalo kemana mana"
Nurul Nisa Utami,5,23 Oct 2023,Saya suka menginap di bobobox.,I really like to stay in bobobox
Suryadi,5,23 Oct 2023,Kamar service dan pelayanan OK. Disarankan.,"Masih kedap suara
Untuk kamar service ok
Pelayanan ok.

Recommended"
Nida fadhilah,5,22 Oct 2023,"Staff ramah & sangat membantu, nyaman.",Nyaman staff nya ramah sangat membantu
Andini,4,19 Oct 2023,Pilih penginapan nyaman di Bandung.,"Nyaman dan posisi penginapannya gk terlalu klo mau kmana"" 😁 bkalan pilih d sini lg klo k bndung .."
Sinta Aprilya,5,16 Oct 2023,"Staff ramah, pelayanan bagus.",semua staff nya ramah2 pelayanan good
Sinta Aprilya,5,15 Oct 2023,"Req kamar no 7, excellent service","req kamar no 7 langsung dapet, excellent service"
Trifena Klaudia Natan,5,15 Oct 2023,"Very cozy, wish stay longer",Very cozy 👌 i wish i could stay longer
IqbalSaptaAbdiDwitama,5,13 Oct 2023,Staycation di Bobobox nyaman,staycation di bobobox emang bikin nyaman 😇
Intan Vina Yulianita,4,08 Oct 2023,Parkir di King's tidak dapat gratis di Bobobox.,Baru tahu kalau sekarang parkir di kings tidak dapat cap bobobox jadi harus bayar parkir. Mana parkir dari tgl 8 baru check out tgl 11🥲
Bagas Islami,4,07 Oct 2023,Semoga ada tissue di pod,Semoga nanti di setiap pod ada tissue
Donal Siahaan,4,05 Oct 2023,Next time I will stay here :),next time i will stay in here :)
michael kiran,4,01 Oct 2023,Charger di Pod 55 Bobobox Longgar,charger di pod 55 bobobox alun alun bandung longgar
Alifah Revalina Tasya,5,30 Sep 2023,"Tempat tidur nyaman, toilet bersih meski sharing.","Bagus, nyaman juga tmpt tidurny, toiletny bersih juga walaupun sharing"
Ayu Purwanti,5,30 Sep 2023,Lokasi strategis dekat Alun-Alun Bdg & Mall.,Lokasi sangat strategis dekat dengan Alun-Alun Bandung dan Mall
fony aulia,5,29 Sep 2023,"Staff ramah, pelayanan memuaskan.","staff ramahh, pelayanan memuaskan makasihhh yaa kaa"
Dwi Elya,5,28 Sep 2023,"Layanan luar biasa, terima kasih Bobobox 🫶","excelent service, thanks bobobox 🫶"
Radha Selvia,5,28 Sep 2023,Nyaman banget staycation,Nyaman banget buat staycation
Nandya Tiara,5,28 Sep 2023,Fun and the hospitality best. Location strategic,"It's my second time to stay at bobobox, so fun and the hospitality always best
The location very strategic
On of best facilities is a rooftop and elevator"
Reyzha Sevhani,5,21 Sep 2023,Bobobox terbaik di Ranca Upas.,"Tempat nya bersih, nyaman,dan ramah banget Kakak penjaga nya,enak banget bisa sambil musikan terus pengen lagi deh refreshing di sana lagi))) dan harga nya murce syekali"
Aisyah Novitri,5,15 Sep 2023,"Kamar bolak balik, tendang 5 kali.","kamar di bawahku bolak balik tendang tendang bed , cuma karna aku gerak sedikit, uda ada 5 kali"
Suci Amalia,5,06 Sep 2023,Cozy stay with rooftop near Braga Street.,"I love my stay at bobobox alun-alun Bandung because it's cozy and moreover the rooftop. The location is near with malls, Braga street and town square. Perfect!!"
Vivi Rizqi,5,05 Sep 2023,"Bersih, nyaman, adem, tidak terlalu penuh.","Bersih yang paling penting. Nyaman, ac adem, karena bukan weekend, jadi gak terlalu penuh mungkin ya."
N/A,N/A,N/A,N/A,N/A
Stella Christy,4,25 Nov 2023,"Colokan listrik mohon d maintain,1 tidak berfungsi","Colokan listriknya mohon d maintain selalu, 1 colokan tidak berfungsi"
Rika Fadilah,5,25 Nov 2023,Comfortable sleep and excellent customer service:),"Semuanya bersih dan nyaman, sayang bobobox alun alun bandung jauhhh sekali parkir motornyaa, kalau parkir motor didepan bangunan pasti saya kasih bintang 10!! Ohiya saran disetiap kamar disediakan keset kaki, terimakasih"
Lee Keang Heng,4,24 Nov 2023,"Bedsheet and towels stained, must clean all.",The bedsheet and towels got stain. Good to ensure all is clean.
Tugas Kantor,4,24 Nov 2023,Kebersihan kamar mandi perlu ditingkatkan,"Kebersihan kamar mandi mohon untuk ditingkatkan ya kak, tp overall oke kamarnya nyaman untuk ditempati. Kakak-kakak staf dan satpam juga ramah dan sabar melayani tamu-tamu yang datang"
Akbar Hantar,5,21 Nov 2023,Stay nice and happy!,Niiiiiiiiccccccccveeeeeee staaaaaaaaaaaaaayÿyyyyyyyyyyyhyhy
Annisa Suhawan,5,19 Nov 2023,"Kamar bersih, nyaman, layak.","Bagus banget, kamar bersih kamar mandi juga bersih, nyaman sangat worth it pokoknya"
Tri Wulandari,5,19 Nov 2023,"Tempat bagus, mudah akses, cocok buat liburan.","Bagus banget tempatnya. akses kemana-mana gampang banget. kalau mau ke alun-alun bandung, king mall, yogya,jalan asia afrika ya tinggal jalan. jadi cocok banget buat yang mau liburan tapi gak nguras dompet. terima kasih bobobox alun-alun bandung"
Meishana,4,18 Nov 2023,"Nikmatnya nginep disini, dekat dengan tempat makan","Suka bangeeeet nginep disini, sebrang the Kings, mau jajan apa aja ada. Mau ke Bake It tinggal nyebrang ajaaa.
Mau ke Bubur Ayam Kang Dedi, tinggal jalan kaki 8 menit."
Brandon White,5,18 Nov 2023,Pleasant stay with comfy bed,"It is a pleasant experience to stay overnight in here. The bed is comfy and the room is comfortable. The facilities also clean. Maybe the bedsheet and bedcover need more cleaning as I find out some stain and dust, but overall it is great!"
Surya Asrini,4,17 Nov 2023,"Pelayan ramah, bersih, nyaman, adem, recommended.","Pods nya cozy, luas, AC nya enak, bersih, lokasi dekat dengan Kings buat cari makan.

Toiletnya di waktu tertentu dan cubicle ada yg aga pesing. Bluetooth pods nya nggak nyala. Lebih OK kalau ada hanging shelf di area handwashing toilet buat taro any amenities yg kita bawa selagi cuci muka atau sikat gigi"
Dewi Maryati,5,16 Nov 2023,Enak banget penginapan nyaman dekat kota.,"enak banget buat quick stay, nyaman deket kota juga klo mau jalan"""
Alfina Dwi Lestari,5,15 Nov 2023,"Pelayanan ramah, nyaman, dan terbaik.",Bagus pelayanan ramah nyaman the best
Pratiwi,5,14 Nov 2023,"Tempat bersih, cocok untuk menginap berdua.",Tempat bersih oke buat nginep berdua
Muhammad Ifan,5,13 Nov 2023,"Kasur ok, staff ramah, akses dekat. Good job",Tidur cukup nyaman walaupun kasurnya agak kaki dikit tapi gak masalah so far nyaman sih. Staffnya ramah dan sangat membantu. Bapak satpamnya juga ramah banget. Aksesnya gampang dan strategis deket banget dari alun-alun. Good job bobobox!
anak jendral,5,12 Nov 2023,Bobobox di Paskal dan Alun-Alun keren,"Ini yg ke 2xnya nginep d bobobox
Pertama d paskal, ke 2 d alun"".. 
Btw bobobox makin keren.."
Izza,5,09 Nov 2023,"Literally walk to McD, rooftop available! Best!",Literally we can walk to McD and they have a rooftop!! Best
muhammad rafli,5,08 Nov 2023,Improve soundproofing for better experience.,"All good , only room soundproof must be improve"
